epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6709,1.42758,3.47912,1.47367,0.00916,1,0.36701,0.32863,0.43643,3.19571,1.04592,0.00017,0.00017,0.00017
2,41.606,0.7956,3.04101,1.14878,0.01135,1,0.4582,0.41067,0.55422,2.97324,1.06529,0.00034307,0.00034307,0.00034307
3,62.9158,0.63293,2.39038,1.06298,0.82022,0.25,0.7481,0.65444,0.34258,2.40672,1.03662,0.000509012,0.000509012,0.000509012
4,83.332,0.63118,1.67109,1.05309,0.51127,0.76684,0.80429,0.72363,0.43262,1.84583,1.05293,0.000667826,0.000667826,0.000667826
5,103.723,0.58806,1.31996,1.04443,0.58398,0.78542,0.80581,0.64776,0.57683,2.64138,1.15501,0.000819512,0.000819512,0.000819512
6,124.133,0.57912,1.14536,1.04503,0.68673,0.8708,0.75579,0.69491,0.43174,1.82672,1.07782,0.000901,0.000901,0.000901
7,144.566,0.52211,1.13464,1.0147,0.74612,0.58625,0.77177,0.62358,0.463,2.69972,1.08735,0.0008812,0.0008812,0.0008812
8,165.2,0.495,1.06992,1.00491,0.46436,0.80599,0.68778,0.5954,0.53615,2.26604,1.07982,0.0008614,0.0008614,0.0008614
9,186.939,0.44109,0.96431,0.97451,0.82919,0.73712,0.82364,0.72916,0.43181,2.08955,1.05086,0.0008416,0.0008416,0.0008416
10,207.342,0.45377,0.92219,0.97698,0.76117,0.85622,0.86592,0.77442,0.38208,1.10407,1.03718,0.0008218,0.0008218,0.0008218
11,227.982,0.43352,0.85926,0.9665,0.69024,0.80934,0.84613,0.7115,0.43043,1.13364,1.03099,0.000802,0.000802,0.000802
12,248.164,0.41112,0.85013,0.97792,0.90153,0.78158,0.96644,0.92091,0.3145,0.95118,1.01631,0.0007822,0.0007822,0.0007822
13,268.663,0.39724,0.78794,0.97215,0.74992,0.83873,0.91988,0.85935,0.42567,0.91306,1.05466,0.0007624,0.0007624,0.0007624
14,288.903,0.39146,0.77577,0.96302,0.76585,0.80556,0.92295,0.88249,0.33879,0.81725,1.01151,0.0007426,0.0007426,0.0007426
15,309.52,0.3934,0.77622,0.94954,0.83517,0.88889,0.93606,0.90532,0.28669,0.80966,0.99858,0.0007228,0.0007228,0.0007228
16,329.813,0.37043,0.74238,0.95557,0.70156,0.881,0.89875,0.88569,0.28371,0.83345,0.99839,0.000703,0.000703,0.000703
17,350.634,0.35385,0.68241,0.94404,0.80976,0.90183,0.9109,0.8897,0.24144,0.76281,0.99684,0.0006832,0.0006832,0.0006832
18,370.686,0.3334,0.68601,0.939,0.8879,0.94444,0.97,0.89187,0.30704,0.9904,1.00291,0.0006634,0.0006634,0.0006634
19,390.778,0.32337,0.63522,0.93922,0.89589,0.91667,0.96584,0.93512,0.23818,1.21009,0.99348,0.0006436,0.0006436,0.0006436
20,411.344,0.344,0.63799,0.95069,0.90857,0.98019,0.995,0.97261,0.31629,0.7739,1.00954,0.0006238,0.0006238,0.0006238
21,431.66,0.34435,0.67387,0.95701,0.95437,0.96046,0.99119,0.99119,0.2559,0.70755,0.99111,0.000604,0.000604,0.000604
22,452.044,0.32732,0.63665,0.95061,0.95085,1,0.995,0.99233,0.25693,0.54291,0.99455,0.0005842,0.0005842,0.0005842
23,471.659,0.30971,0.60185,0.93399,0.95876,0.97222,0.99119,0.98447,0.22118,0.71391,0.99151,0.0005644,0.0005644,0.0005644
24,491.406,0.33004,0.58788,0.93943,0.82505,0.91806,0.92608,0.89691,0.30159,1.88891,1.01421,0.0005446,0.0005446,0.0005446
25,506.262,0.31086,0.58764,0.92815,0.90812,0.93883,0.97825,0.97025,0.27857,1.2324,0.99712,0.0005248,0.0005248,0.0005248
26,521.427,0.30326,0.59951,0.94082,0.93614,0.93277,0.97667,0.95024,0.28292,0.87062,1.00309,0.000505,0.000505,0.000505
27,536.821,0.29867,0.61829,0.9402,0.9544,0.95057,0.995,0.98687,0.26069,0.84974,0.99645,0.0004852,0.0004852,0.0004852
28,552.356,0.27505,0.56853,0.92765,0.97392,0.9226,0.995,0.995,0.21185,0.54644,0.98724,0.0004654,0.0004654,0.0004654
29,567.636,0.26175,0.54594,0.92118,0.95749,0.96629,0.995,0.98053,0.24662,0.51483,0.99062,0.0004456,0.0004456,0.0004456
30,583.155,0.26107,0.51635,0.9276,0.97029,0.98963,0.995,0.96074,0.30111,0.46764,0.99857,0.0004258,0.0004258,0.0004258
31,598.217,0.27542,0.51336,0.92582,0.9744,0.97737,0.995,0.99186,0.20838,0.51044,0.98629,0.000406,0.000406,0.000406
32,613.569,0.2761,0.47753,0.91892,0.98023,0.98148,0.995,0.93814,0.32167,0.5417,1.00352,0.0003862,0.0003862,0.0003862
33,628.654,0.26293,0.47565,0.91636,0.98149,0.99785,0.995,0.97235,0.27791,0.55919,0.99328,0.0003664,0.0003664,0.0003664
34,644.316,0.26092,0.4893,0.92028,0.93365,0.96556,0.98833,0.98428,0.17885,0.54425,0.98368,0.0003466,0.0003466,0.0003466
35,661.16,0.23489,0.4431,0.90869,0.96071,0.97395,0.995,0.94577,0.31429,0.56085,0.99985,0.0003268,0.0003268,0.0003268
36,677.403,0.2463,0.47241,0.91723,0.96014,0.99464,0.995,0.96832,0.2712,0.48316,0.99385,0.000307,0.000307,0.000307
37,695.279,0.25203,0.43493,0.92085,0.92057,0.97779,0.995,0.995,0.1924,0.44594,0.98298,0.0002872,0.0002872,0.0002872
38,711.438,0.24705,0.44547,0.9158,0.90722,0.99201,0.995,0.995,0.20186,0.47836,0.9826,0.0002674,0.0002674,0.0002674
39,728.365,0.24466,0.43902,0.91667,0.98451,0.99536,0.995,0.995,0.1611,0.42539,0.98039,0.0002476,0.0002476,0.0002476
40,747.354,0.22855,0.43624,0.91413,0.95817,0.98835,0.995,0.97934,0.22182,0.62251,0.98809,0.0002278,0.0002278,0.0002278
41,763.654,0.26337,0.99806,0.92855,0.98699,1,0.995,0.995,0.23663,0.4328,0.988,0.000208,0.000208,0.000208
42,778.964,0.20153,0.5727,0.90884,0.96046,0.97504,0.995,0.995,0.15093,0.54257,0.98284,0.0001882,0.0001882,0.0001882
43,794.347,0.18546,0.49636,0.90409,0.96937,0.99477,0.995,0.995,0.14224,0.52912,0.98223,0.0001684,0.0001684,0.0001684
44,810.514,0.2018,0.43569,0.90104,0.97672,1,0.995,0.97093,0.30104,0.47175,0.99511,0.0001486,0.0001486,0.0001486
45,828.256,0.17457,0.38365,0.89221,0.98086,1,0.995,0.98967,0.26138,0.48373,0.99157,0.0001288,0.0001288,0.0001288
46,844.082,0.20335,0.43298,0.90163,0.98367,0.99527,0.995,0.995,0.15443,0.49731,0.98336,0.000109,0.000109,0.000109
47,859.882,0.17706,0.36793,0.91305,0.99084,0.97714,0.995,0.995,0.17565,0.52614,0.98514,8.92e-05,8.92e-05,8.92e-05
48,875.499,0.19361,0.41105,0.90705,0.98091,0.99413,0.995,0.995,0.1366,0.48923,0.98169,6.94e-05,6.94e-05,6.94e-05
49,890.993,0.16866,0.34973,0.91153,0.98636,0.99723,0.995,0.995,0.16167,0.49042,0.98286,4.96e-05,4.96e-05,4.96e-05
50,907.033,0.16527,0.37827,0.88456,0.98821,0.999,0.995,0.995,0.17195,0.45675,0.98267,2.98e-05,2.98e-05,2.98e-05
