epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.293,1.07938,3.34872,1.68304,0.00854,1,0.26553,0.12847,0.98714,4.19772,1.62911,0.00017,0.00017,0.00017
2,238.797,0.55289,2.51445,1.19403,0.05626,1,0.47454,0.44416,0.41296,3.76627,0.8747,0.000332675,0.000332675,0.000332675
3,369.323,0.46398,1.71816,1.10526,0.6426,0.33333,0.45887,0.40944,0.51214,3.31733,0.80536,0.00047753,0.00047753,0.00047753
4,523.843,0.41849,1.42572,1.06656,0.7594,0.49052,0.65814,0.54249,0.66644,3.24551,1.0262,0.000604565,0.000604565,0.000604565
5,647.7,0.39173,1.20936,1.0479,0.70005,0.52456,0.60804,0.54822,0.51684,3.29399,0.96323,0.00071378,0.00071378,0.00071378
6,874.17,0.37876,1.20027,1.03052,0.74223,0.77558,0.88465,0.80023,0.55316,2.22459,0.81475,0.0007525,0.0007525,0.0007525
7,1106.12,0.36001,1.09274,1.03002,0.65596,0.80388,0.80554,0.72247,0.4169,2.71498,0.73036,0.000703,0.000703,0.000703
8,1223.41,0.37329,1.02166,1.02478,0.80436,0.89983,0.9381,0.86569,0.41994,1.97786,0.64744,0.0006535,0.0006535,0.0006535
9,1352.27,0.34529,0.9486,1.01183,0.76271,0.95945,0.96822,0.93415,0.29195,1.7955,0.4926,0.000604,0.000604,0.000604
10,1478.72,0.34489,0.94356,1.00051,0.80638,0.9105,0.98125,0.95244,0.3075,1.51415,0.45249,0.0005545,0.0005545,0.0005545
11,1602.44,0.43335,1.8024,1.25567,0.88889,0.88048,0.88321,0.86506,0.31262,1.3112,0.44999,0.000505,0.000505,0.000505
12,1730.16,0.27283,1.47721,1.09401,0.95732,0.96527,0.98433,0.97173,0.27044,1.27394,0.40982,0.0004555,0.0004555,0.0004555
13,1856.42,0.2457,1.19256,1.05581,0.90689,0.9561,0.99119,0.98268,0.24439,1.32433,0.37521,0.000406,0.000406,0.000406
14,1980.76,0.23227,1.26031,1.05118,0.94257,0.95847,0.9823,0.97916,0.20349,1.34902,0.3284,0.0003565,0.0003565,0.0003565
15,2075.55,0.21302,1.13487,1.05688,0.96074,0.97749,0.995,0.995,0.1482,1.16982,0.25647,0.000307,0.000307,0.000307
16,2235.66,0.19388,1.03335,1.02475,0.9813,0.96081,0.995,0.995,0.11194,1.16117,0.20682,0.0002575,0.0002575,0.0002575
17,2328.82,0.19059,0.93656,1.01328,0.98092,0.99209,0.995,0.995,0.1174,0.96976,0.21803,0.000208,0.000208,0.000208
18,2525.3,0.18888,0.87169,1.02272,0.97981,0.99817,0.995,0.995,0.10888,0.97025,0.2158,0.0001585,0.0001585,0.0001585
19,2709.9,0.18356,0.85865,1.03467,0.98668,0.99627,0.995,0.995,0.11049,0.9424,0.22754,0.000109,0.000109,0.000109
20,2852.87,0.17307,0.83689,1.01478,0.98664,0.99713,0.995,0.995,0.10579,0.91366,0.22748,5.95e-05,5.95e-05,5.95e-05
